               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss,               x/lr0,               x/lr1,               x/lr2
                  13,            0.066566,            0.017531,            0.038417,             0.12126,           0.0024226,             0.72914,            0.012317,           0.0022315,            0.077903,             0.01534,            0.041309,             0.19326,            0.024976,           0.0079763,           0.0079763
                  14,            0.066869,            0.017085,             0.03755,             0.10117,           0.0027598,             0.84537,            0.017927,           0.0038259,            0.077297,            0.015128,            0.040759,             0.19853,            0.019526,           0.0085262,           0.0085262
                  15,            0.063761,            0.016938,            0.036153,            0.082511,             0.01845,             0.16454,             0.02332,           0.0049338,            0.075097,            0.015073,            0.039917,             0.23018,            0.014073,           0.0090725,           0.0090725
                  16,             0.06335,            0.016672,            0.035759,            0.068826,            0.027293,             0.11974,            0.029884,           0.0073169,            0.073561,            0.014934,             0.03877,               0.248,             0.00952,             0.00952,             0.00952
                  17,            0.061072,            0.016378,            0.034287,             0.05093,             0.11775,             0.22247,            0.060841,            0.012654,             0.07215,            0.014696,            0.037891,             0.26075,             0.00952,             0.00952,             0.00952
                  18,            0.061579,            0.015998,             0.03343,            0.046644,            0.041019,            0.099505,            0.067294,            0.018335,            0.070947,            0.014364,             0.03667,              0.3091,             0.00949,             0.00949,             0.00949
                  19,             0.05805,            0.015898,            0.031153,            0.034746,             0.15209,             0.19817,            0.087932,            0.019003,            0.070024,            0.014122,            0.035553,             0.32693,             0.00946,             0.00946,             0.00946
                  20,            0.056192,            0.015571,            0.030168,            0.029875,             0.12623,             0.22587,            0.098451,            0.029537,            0.069442,            0.013925,            0.034668,             0.35749,             0.00943,             0.00943,             0.00943
                  21,            0.055771,            0.015367,             0.02921,            0.030239,             0.15336,             0.33765,             0.11477,            0.032735,            0.068793,            0.013671,            0.033557,             0.37136,              0.0094,              0.0094,              0.0094
                  22,             0.05528,            0.014959,            0.026645,            0.023644,             0.14509,             0.27092,             0.12835,            0.041901,             0.06824,             0.01348,            0.032385,             0.40911,             0.00937,             0.00937,             0.00937
                  23,            0.053016,            0.014874,             0.02549,            0.036616,             0.18897,             0.26221,             0.13026,            0.042095,            0.067688,            0.013309,             0.03139,              0.3862,             0.00934,             0.00934,             0.00934
                  24,            0.052415,            0.014696,            0.024103,            0.022825,             0.13755,             0.26597,             0.12467,            0.037208,            0.066961,            0.013171,            0.030164,             0.39605,             0.00931,             0.00931,             0.00931
                  25,            0.052024,            0.014414,            0.023141,            0.022476,             0.13065,             0.28689,             0.13448,            0.036715,            0.066334,            0.013042,            0.028973,             0.40713,             0.00928,             0.00928,             0.00928
                  26,            0.050414,            0.014515,            0.022122,            0.025102,             0.14928,             0.29335,             0.15044,            0.049098,            0.065899,            0.012965,            0.028387,             0.42475,             0.00925,             0.00925,             0.00925
                  27,              0.0498,            0.014447,            0.020739,            0.035434,             0.17674,             0.27888,             0.15518,            0.040018,            0.066185,            0.012849,            0.027795,             0.42566,             0.00922,             0.00922,             0.00922
                  28,            0.048819,            0.014043,            0.018933,            0.018408,             0.27293,             0.26433,             0.19195,              0.0488,            0.065754,            0.012763,            0.026904,             0.44034,             0.00919,             0.00919,             0.00919
                  29,            0.046989,            0.014054,             0.01805,            0.017757,             0.16373,             0.26643,             0.15681,            0.037276,            0.066989,            0.012554,            0.026422,             0.44223,             0.00916,             0.00916,             0.00916
                  30,            0.046026,            0.014069,            0.017185,            0.017717,             0.20563,             0.23703,             0.19484,            0.065413,             0.06517,            0.012591,            0.025787,             0.42507,             0.00913,             0.00913,             0.00913
                  31,            0.044451,            0.013787,            0.016234,            0.016091,             0.26711,             0.28123,             0.21147,            0.060996,            0.065918,            0.012392,            0.025488,             0.44361,              0.0091,              0.0091,              0.0091
                  32,             0.04373,            0.013594,            0.015647,            0.017131,             0.19698,             0.35842,             0.20224,            0.056253,            0.065227,            0.012338,            0.024738,             0.46445,             0.00907,             0.00907,             0.00907
                  33,            0.042789,            0.013422,            0.015024,            0.019675,             0.23153,             0.34624,             0.24611,            0.056608,            0.064972,            0.012268,            0.024365,             0.46329,             0.00904,             0.00904,             0.00904
                  34,            0.044122,            0.013079,            0.014511,            0.014605,             0.17262,             0.33382,             0.20542,            0.077246,            0.065193,            0.012157,            0.023999,             0.43152,             0.00901,             0.00901,             0.00901
                  35,            0.041986,            0.013121,            0.014392,            0.014567,             0.22829,             0.35009,             0.24466,            0.082471,            0.063944,            0.012157,            0.023608,             0.45098,             0.00898,             0.00898,             0.00898
                  36,            0.041423,            0.012909,            0.013906,            0.012795,              0.2906,             0.39245,             0.25984,            0.076941,            0.063825,            0.012118,            0.023071,             0.48301,             0.00895,             0.00895,             0.00895
                  37,            0.040224,              0.0128,            0.013414,           0.0094686,             0.27485,              0.3446,             0.26945,            0.087498,            0.063635,            0.012036,            0.022711,              0.4986,             0.00892,             0.00892,             0.00892
                  38,            0.040993,            0.012539,            0.012653,            0.012629,             0.25431,             0.22112,             0.21594,            0.064272,            0.066251,            0.011809,            0.022534,             0.52581,             0.00889,             0.00889,             0.00889
                  39,            0.040682,            0.012236,            0.012507,            0.010905,             0.26681,             0.33615,             0.23767,            0.078003,            0.063887,            0.011902,            0.022101,             0.47934,             0.00886,             0.00886,             0.00886
                  40,            0.038881,            0.012191,            0.011988,           0.0083564,             0.23605,             0.31834,             0.22444,            0.080837,             0.06443,            0.011814,            0.022125,             0.48815,             0.00883,             0.00883,             0.00883
                  41,             0.04004,             0.01219,            0.012507,            0.011893,             0.29357,             0.38452,             0.24413,            0.078378,            0.063639,            0.011806,            0.022235,             0.53287,              0.0088,              0.0088,              0.0088
                  42,            0.038081,            0.011864,            0.011835,            0.017382,             0.24614,             0.34475,             0.23746,            0.070361,            0.063872,            0.011765,            0.022083,             0.48716,             0.00877,             0.00877,             0.00877
                  43,            0.036497,             0.01178,            0.011505,           0.0076935,             0.29591,             0.41136,             0.26226,             0.07485,            0.063858,            0.011732,            0.022058,             0.48951,             0.00874,             0.00874,             0.00874
                  44,            0.035281,             0.01152,            0.011723,           0.0086475,             0.23982,             0.33481,              0.2383,            0.076583,            0.063589,             0.01168,            0.022028,             0.52126,             0.00871,             0.00871,             0.00871
                  45,            0.035097,            0.011245,            0.011147,           0.0092627,             0.26598,             0.37275,             0.25295,             0.08406,             0.06319,            0.011685,            0.021942,             0.50335,             0.00868,             0.00868,             0.00868
                  46,            0.034579,            0.011103,            0.011065,            0.008378,             0.29495,              0.3391,              0.2723,             0.08572,             0.06319,            0.011638,            0.021765,             0.49228,             0.00865,             0.00865,             0.00865
                  47,            0.035244,            0.011008,            0.011711,            0.022279,             0.28215,             0.29601,             0.26066,            0.079357,            0.063261,             0.01163,            0.021674,             0.50782,             0.00862,             0.00862,             0.00862
                  48,            0.033915,            0.010965,            0.010826,            0.027661,             0.29529,             0.32109,              0.2557,            0.081872,            0.063647,            0.011593,            0.021289,             0.49888,             0.00859,             0.00859,             0.00859
                  49,             0.03275,            0.010809,            0.010794,            0.011148,              0.3128,             0.36605,             0.26632,            0.084299,            0.062976,            0.011601,            0.021191,             0.47569,             0.00856,             0.00856,             0.00856
                  50,            0.033102,            0.010674,            0.010928,           0.0085821,             0.27822,             0.36402,             0.25856,            0.083656,            0.062802,            0.011609,            0.021356,             0.51744,             0.00853,             0.00853,             0.00853
                  51,            0.034509,            0.010605,            0.011134,           0.0085794,              0.2876,             0.35554,             0.26196,            0.085169,            0.063348,            0.011566,            0.021252,             0.52515,              0.0085,              0.0085,              0.0085
                  52,            0.032082,            0.010308,            0.010557,            0.007651,             0.28413,             0.37435,             0.26694,            0.085264,            0.062875,             0.01158,            0.021149,             0.50346,             0.00847,             0.00847,             0.00847
                  53,            0.031264,            0.010355,            0.010883,            0.015747,              0.3383,             0.38485,             0.31187,             0.08812,            0.063117,            0.011567,            0.021191,             0.51734,             0.00844,             0.00844,             0.00844
                  54,            0.031703,            0.010217,            0.010583,           0.0069232,             0.33279,             0.37316,             0.27597,            0.070478,            0.063867,            0.011556,            0.021252,             0.54706,             0.00841,             0.00841,             0.00841
                  55,            0.033538,            0.010141,            0.010892,           0.0087538,             0.31781,                0.36,             0.27375,            0.075964,            0.064276,            0.011495,            0.021033,             0.51826,             0.00838,             0.00838,             0.00838
                  56,            0.031082,           0.0097918,            0.010261,           0.0076185,             0.31819,             0.36442,             0.27852,            0.086768,            0.063156,            0.011527,            0.020856,             0.53424,             0.00835,             0.00835,             0.00835
                  57,            0.029932,            0.009838,            0.010434,            0.011024,             0.37242,             0.35874,             0.29423,            0.097699,            0.062759,            0.011558,            0.020654,             0.54937,             0.00832,             0.00832,             0.00832
                  58,            0.029097,           0.0096404,            0.010243,           0.0083477,             0.34904,             0.35233,             0.30087,            0.097316,            0.063055,            0.011535,            0.020331,             0.53929,             0.00829,             0.00829,             0.00829
                  59,            0.029717,           0.0094588,            0.010579,            0.016859,             0.37103,             0.38036,             0.30595,            0.095529,            0.062956,            0.011537,            0.020245,             0.54307,             0.00826,             0.00826,             0.00826
                  60,            0.031379,           0.0094848,            0.010375,            0.007916,             0.30185,              0.3808,             0.29854,            0.087447,            0.063543,             0.01144,            0.019983,             0.54939,             0.00823,             0.00823,             0.00823
                  61,            0.031391,           0.0095471,            0.010922,            0.022209,             0.35368,             0.36923,              0.2769,            0.086176,            0.064078,            0.011462,            0.019916,             0.54428,              0.0082,              0.0082,              0.0082
                  62,            0.030089,           0.0092085,            0.010342,           0.0070417,             0.39359,              0.4185,             0.32534,            0.097339,            0.062604,            0.011462,            0.020209,             0.53657,             0.00817,             0.00817,             0.00817
                  63,            0.028758,           0.0094149,            0.010186,           0.0064309,              0.4069,             0.40568,             0.31683,            0.090261,            0.063027,            0.011459,            0.020154,             0.56403,             0.00814,             0.00814,             0.00814
                  64,             0.02843,           0.0091853,            0.010242,           0.0085716,             0.48176,             0.45973,             0.36884,            0.098486,            0.062519,            0.011522,            0.019946,             0.57298,             0.00811,             0.00811,             0.00811
                  65,            0.029109,           0.0091561,            0.010198,           0.0067119,             0.35066,             0.40233,             0.29294,            0.083651,            0.063858,            0.011483,            0.020117,             0.53338,             0.00808,             0.00808,             0.00808
                  66,            0.027184,           0.0088267,           0.0099906,           0.0073061,             0.39175,             0.42833,             0.34617,            0.096719,            0.062579,             0.01153,            0.020343,             0.57775,             0.00805,             0.00805,             0.00805
                  67,            0.027002,           0.0088296,             0.01004,           0.0070653,             0.37049,             0.37238,             0.31642,            0.093547,            0.062929,            0.011562,             0.02041,             0.58321,             0.00802,             0.00802,             0.00802
                  68,             0.02747,           0.0088977,             0.01012,            0.014625,             0.37883,             0.40815,             0.34434,             0.10505,            0.062415,            0.011614,            0.020245,             0.58396,             0.00799,             0.00799,             0.00799
                  69,            0.027644,           0.0087257,            0.010051,           0.0048019,              0.4405,             0.38534,             0.32182,            0.093314,            0.062425,            0.011588,             0.02002,             0.56687,             0.00796,             0.00796,             0.00796
                  70,            0.025713,           0.0086693,             0.01014,           0.0081247,             0.35728,             0.42825,             0.31102,            0.095747,            0.062413,             0.01162,            0.019946,              0.5741,             0.00793,             0.00793,             0.00793
                  71,            0.027753,           0.0085202,             0.01065,           0.0056999,             0.33457,             0.45017,             0.31696,            0.092141,            0.062669,            0.011651,            0.019922,             0.59687,              0.0079,              0.0079,              0.0079
                  72,            0.025821,            0.008261,            0.010038,           0.0070593,             0.30635,             0.43333,             0.29514,            0.087275,            0.062861,            0.011582,            0.020074,             0.60851,             0.00787,             0.00787,             0.00787
                  73,            0.025712,           0.0084949,            0.010057,           0.0076316,             0.34148,             0.42957,             0.32349,            0.090173,            0.062349,            0.011643,            0.020398,             0.57571,             0.00784,             0.00784,             0.00784
                  74,            0.026484,           0.0083988,            0.010129,           0.0067818,             0.36329,             0.42074,             0.32253,            0.091723,            0.061743,            0.011748,            0.020441,             0.60308,             0.00781,             0.00781,             0.00781
                  75,            0.026813,           0.0082847,            0.010378,            0.013512,              0.3049,             0.40055,             0.28968,            0.082479,             0.06285,             0.01173,            0.020477,             0.56478,             0.00778,             0.00778,             0.00778
                  76,            0.025914,           0.0080946,            0.010029,             0.01796,              0.3903,             0.52267,             0.37538,            0.098665,             0.06227,            0.011695,            0.020569,             0.57742,             0.00775,             0.00775,             0.00775
                  77,            0.025161,            0.008027,           0.0099103,           0.0048709,              0.3493,             0.44427,             0.32248,            0.091319,            0.062359,            0.011688,            0.020386,             0.57216,             0.00772,             0.00772,             0.00772
                  78,            0.026098,           0.0079628,           0.0099162,           0.0063306,             0.39141,             0.45857,             0.34407,            0.096865,            0.062512,             0.01167,            0.020038,              0.5581,             0.00769,             0.00769,             0.00769
                  79,            0.023963,           0.0078899,            0.010048,           0.0058961,             0.39408,             0.49483,             0.35004,            0.099335,             0.06223,            0.011687,            0.019736,             0.58824,             0.00766,             0.00766,             0.00766
                  80,            0.025302,            0.007944,            0.010673,           0.0057772,             0.34794,             0.43762,             0.32003,             0.09647,            0.062506,            0.011645,            0.019778,             0.60123,             0.00763,             0.00763,             0.00763
                  81,            0.023813,           0.0078393,           0.0098349,           0.0064861,             0.37063,              0.4375,             0.33987,             0.09871,            0.062354,            0.011698,            0.019934,             0.60973,              0.0076,              0.0076,              0.0076
                  82,            0.025459,           0.0078171,           0.0098752,           0.0097297,             0.36273,             0.50668,              0.3396,            0.086078,              0.0628,            0.011662,            0.019946,             0.57829,             0.00757,             0.00757,             0.00757
                  83,            0.025923,           0.0076885,           0.0098718,           0.0055796,             0.36892,              0.4583,             0.36845,             0.10094,            0.062022,            0.011748,              0.0198,             0.57375,             0.00754,             0.00754,             0.00754
                  84,            0.025362,           0.0077717,            0.010289,           0.0093938,             0.33337,             0.47174,               0.336,            0.092768,            0.061859,            0.011832,            0.019785,             0.58326,             0.00751,             0.00751,             0.00751
                  85,            0.023814,           0.0075639,            0.010193,            0.025058,             0.42108,              0.3859,              0.3615,             0.09546,            0.061964,            0.011809,            0.019781,             0.59544,             0.00748,             0.00748,             0.00748
                  86,            0.024666,           0.0074906,            0.010056,            0.006485,             0.42135,             0.35609,             0.34044,            0.098862,            0.061597,            0.011882,            0.019675,             0.58732,             0.00745,             0.00745,             0.00745
                  87,            0.023684,           0.0075208,           0.0099103,           0.0060966,             0.49355,             0.37035,             0.37901,             0.10741,            0.061937,            0.011877,            0.019687,             0.59918,             0.00742,             0.00742,             0.00742
                  88,            0.024018,           0.0073977,           0.0098833,           0.0074522,             0.40756,             0.37244,              0.3292,            0.099814,            0.062124,            0.011862,            0.019766,             0.59563,             0.00739,             0.00739,             0.00739
                  89,            0.026587,           0.0076026,            0.010036,           0.0048091,             0.42567,             0.35962,              0.3306,            0.096989,             0.06212,            0.011783,            0.019916,             0.60419,             0.00736,             0.00736,             0.00736
                  90,            0.024204,           0.0073383,            0.010427,            0.013345,             0.47382,              0.4067,             0.37066,             0.10713,            0.061404,            0.011846,            0.020065,             0.60752,             0.00733,             0.00733,             0.00733
                  91,            0.022866,           0.0073501,           0.0099018,           0.0052376,             0.44734,             0.39291,             0.35646,            0.097671,            0.061527,            0.011804,            0.020157,             0.61149,              0.0073,              0.0073,              0.0073
                  92,            0.023448,           0.0073686,            0.010211,           0.0051012,             0.46806,             0.37812,             0.36388,            0.095998,            0.061268,            0.011806,            0.020294,             0.62749,             0.00727,             0.00727,             0.00727
                  93,            0.023699,           0.0072676,           0.0098281,           0.0047415,             0.42144,             0.35755,             0.33957,             0.09283,            0.062735,            0.011725,            0.020023,             0.63097,             0.00724,             0.00724,             0.00724
                  94,             0.02304,           0.0072531,           0.0098064,            0.005024,             0.48893,             0.34088,             0.34923,            0.099171,            0.061918,            0.011722,            0.019809,             0.60692,             0.00721,             0.00721,             0.00721
                  95,            0.022145,           0.0071304,           0.0098683,            0.011142,             0.37005,             0.47163,             0.36545,             0.10411,            0.061201,            0.011783,             0.01987,             0.60867,             0.00718,             0.00718,             0.00718
                  96,            0.024176,           0.0072873,           0.0098837,           0.0056685,             0.38608,              0.4372,             0.35462,            0.096595,            0.061668,            0.011809,            0.019904,             0.57702,             0.00715,             0.00715,             0.00715
                  97,            0.021501,           0.0071634,           0.0098684,           0.0052623,             0.40289,             0.44405,              0.3675,             0.10382,            0.061003,            0.011872,            0.019821,             0.59147,             0.00712,             0.00712,             0.00712
                  98,            0.021282,           0.0070271,           0.0098724,           0.0039171,             0.40086,             0.43974,              0.3708,             0.11097,            0.060917,            0.011902,            0.019754,             0.58845,             0.00709,             0.00709,             0.00709
                  99,            0.021144,            0.006958,            0.009893,            0.010169,             0.41672,             0.38747,             0.35021,             0.10505,            0.061485,            0.011915,            0.019681,             0.62464,             0.00706,             0.00706,             0.00706
                 100,            0.020779,           0.0067905,           0.0097165,           0.0040845,             0.39254,             0.38547,              0.3585,             0.10946,            0.061327,            0.011959,            0.019843,             0.56981,             0.00703,             0.00703,             0.00703
                 101,            0.021148,           0.0069069,           0.0098602,           0.0059001,             0.33998,             0.41259,             0.32746,            0.093458,            0.062073,            0.011946,            0.019766,              0.6029,               0.007,               0.007,               0.007
                 102,            0.021497,           0.0068496,           0.0098059,           0.0067166,             0.37958,             0.42326,             0.36826,            0.099651,            0.061464,            0.011969,            0.019769,             0.60011,             0.00697,             0.00697,             0.00697
                 103,            0.021965,           0.0069015,           0.0098964,           0.0064528,             0.40935,             0.39359,             0.33496,            0.095798,            0.062199,             0.01194,            0.019656,             0.63512,             0.00694,             0.00694,             0.00694
                 104,            0.021163,           0.0067702,            0.009753,           0.0040924,             0.40198,             0.38791,               0.332,             0.09971,            0.062007,             0.01196,            0.019904,             0.61673,             0.00691,             0.00691,             0.00691
                 105,            0.021113,            0.006747,            0.009791,           0.0038327,             0.39254,             0.40367,             0.32754,            0.097969,             0.06207,            0.011983,            0.020071,             0.60544,             0.00688,             0.00688,             0.00688
                 106,            0.022229,           0.0068419,           0.0097624,           0.0045367,             0.43139,             0.38635,             0.33858,              0.0982,            0.062635,            0.011969,             0.02041,             0.59996,             0.00685,             0.00685,             0.00685
                 107,            0.019953,           0.0066458,           0.0098303,           0.0070156,             0.40772,             0.38525,              0.3395,            0.097202,             0.06171,            0.012001,            0.020392,             0.62971,             0.00682,             0.00682,             0.00682
                 108,            0.020531,           0.0066389,           0.0096283,           0.0036821,             0.40399,             0.38645,             0.34727,            0.098235,            0.062009,            0.011994,            0.020056,             0.61195,             0.00679,             0.00679,             0.00679
                 109,            0.020993,           0.0066834,           0.0096596,           0.0041654,             0.45265,             0.34532,             0.32255,             0.10029,            0.062188,            0.012028,            0.019745,             0.63874,             0.00676,             0.00676,             0.00676
                 110,            0.019508,           0.0066012,           0.0096539,            0.014758,             0.45206,             0.35574,             0.36141,             0.10023,            0.061228,            0.012051,            0.019696,             0.61464,             0.00673,             0.00673,             0.00673
                 111,            0.020841,           0.0066877,           0.0097373,           0.0050714,             0.44933,             0.35472,             0.33126,             0.10174,            0.062391,            0.012012,            0.019815,             0.58851,              0.0067,              0.0067,              0.0067
                 112,            0.020361,           0.0067247,           0.0099517,           0.0046755,             0.39385,             0.33844,             0.30389,            0.097925,            0.062189,            0.012035,            0.020053,             0.60291,             0.00667,             0.00667,             0.00667
                 113,            0.020038,           0.0065161,           0.0098643,           0.0042422,             0.44025,             0.37733,             0.34746,             0.10782,            0.061653,            0.012078,            0.020227,             0.62349,             0.00664,             0.00664,             0.00664
                 114,            0.019884,           0.0064964,           0.0097666,            0.015677,             0.48536,             0.40143,             0.36306,             0.11654,            0.061838,            0.012088,            0.019998,             0.63304,             0.00661,             0.00661,             0.00661
                 115,            0.020065,            0.006556,           0.0096208,           0.0044921,             0.37676,             0.41049,             0.34675,              0.1089,            0.062038,            0.012139,            0.020227,             0.62807,             0.00658,             0.00658,             0.00658
                 116,            0.018619,           0.0063876,           0.0096345,           0.0045934,             0.42476,             0.41402,              0.3772,             0.11479,            0.061288,            0.012251,            0.020227,             0.64024,             0.00655,             0.00655,             0.00655
                 117,            0.019893,           0.0065115,           0.0096911,           0.0048642,             0.42745,             0.38109,             0.34833,             0.10785,            0.062228,            0.012263,            0.020209,             0.60153,             0.00652,             0.00652,             0.00652
                 118,            0.020782,            0.006388,           0.0096696,           0.0037939,             0.41392,             0.37276,             0.35833,             0.10207,            0.061491,             0.01236,            0.020386,              0.6136,             0.00649,             0.00649,             0.00649
                 119,            0.020162,           0.0063013,            0.009706,           0.0038833,             0.46427,              0.3391,             0.34245,             0.10747,            0.062286,            0.012273,            0.020282,             0.63318,             0.00646,             0.00646,             0.00646
                 120,            0.019164,           0.0062994,           0.0096347,           0.0054643,             0.40023,              0.4247,             0.38271,             0.11463,            0.061656,            0.012251,             0.02016,             0.65717,             0.00643,             0.00643,             0.00643
                 121,            0.019621,           0.0063384,           0.0097174,           0.0057496,             0.38204,             0.42194,             0.37247,             0.10754,            0.061228,            0.012305,            0.020227,             0.60095,              0.0064,              0.0064,              0.0064
                 122,            0.020515,           0.0062928,           0.0097684,           0.0047258,             0.40938,             0.34368,             0.34275,              0.1018,            0.062525,            0.012233,            0.020135,             0.65032,             0.00637,             0.00637,             0.00637
                 123,            0.019955,           0.0063049,           0.0095565,           0.0036771,             0.45143,             0.35994,             0.36342,              0.1088,            0.061253,             0.01226,            0.019882,              0.6495,             0.00634,             0.00634,             0.00634
                 124,            0.018676,           0.0063056,           0.0096483,            0.004983,               0.461,             0.38558,             0.37385,             0.10692,            0.060955,            0.012313,            0.019897,             0.64672,             0.00631,             0.00631,             0.00631
                 125,            0.018735,           0.0061162,           0.0095117,           0.0052793,             0.43732,             0.34782,              0.3523,             0.10266,            0.061624,            0.012341,            0.019922,             0.62898,             0.00628,             0.00628,             0.00628
                 126,            0.018833,           0.0061251,           0.0097682,            0.017967,             0.42427,             0.37083,             0.35527,             0.10371,            0.060928,              0.0124,            0.019946,             0.66191,             0.00625,             0.00625,             0.00625
                 127,            0.018944,           0.0062505,           0.0095481,           0.0049731,             0.42302,             0.40705,             0.36094,             0.10459,             0.06124,            0.012449,            0.019943,             0.64829,             0.00622,             0.00622,             0.00622
                 128,            0.018933,           0.0062785,           0.0098237,           0.0035338,              0.4165,             0.37865,             0.35921,             0.10722,             0.06158,            0.012463,            0.019894,             0.63973,             0.00619,             0.00619,             0.00619
                 129,            0.018978,           0.0063284,           0.0097921,           0.0043711,             0.44808,             0.37203,             0.36623,             0.11394,            0.061632,            0.012423,            0.019901,             0.64209,             0.00616,             0.00616,             0.00616
                 130,            0.017845,           0.0060184,           0.0094944,           0.0039076,              0.4453,             0.38563,             0.38684,             0.11216,            0.061379,            0.012433,            0.019916,             0.65223,             0.00613,             0.00613,             0.00613
                 131,            0.019287,           0.0060692,           0.0095733,           0.0073165,             0.46756,             0.36168,             0.35004,             0.11009,            0.060822,            0.012431,            0.019772,             0.62619,              0.0061,              0.0061,              0.0061
                 132,            0.018401,           0.0059659,           0.0095708,           0.0074448,             0.46621,             0.39053,             0.35857,             0.10374,            0.062104,            0.012309,            0.019586,             0.64839,             0.00607,             0.00607,             0.00607
                 133,            0.019446,             0.00602,            0.009631,           0.0065955,              0.4908,             0.35874,              0.3945,             0.12057,            0.060902,            0.012291,            0.019574,             0.61209,             0.00604,             0.00604,             0.00604
                 134,            0.018156,           0.0060284,           0.0095494,           0.0051548,             0.51023,             0.35041,             0.39106,             0.10741,            0.061193,            0.012284,            0.019424,             0.62398,             0.00601,             0.00601,             0.00601
                 135,            0.017445,           0.0060354,           0.0095989,           0.0044679,             0.47692,             0.35727,             0.39498,             0.11801,            0.061079,             0.01237,            0.019318,              0.6347,             0.00598,             0.00598,             0.00598
                 136,             0.01678,           0.0058548,            0.009487,           0.0044965,               0.451,             0.35874,             0.37484,             0.11368,            0.061282,            0.012396,            0.019202,             0.66964,             0.00595,             0.00595,             0.00595
                 137,            0.017115,            0.005923,           0.0095162,           0.0036889,             0.47285,             0.37844,             0.35978,             0.11601,            0.061029,              0.0124,            0.019147,              0.6384,             0.00592,             0.00592,             0.00592
                 138,            0.016388,           0.0059978,           0.0095373,           0.0054707,             0.43654,              0.4036,             0.38844,             0.11477,            0.061316,            0.012439,            0.019128,               0.625,             0.00589,             0.00589,             0.00589
                 139,            0.017495,           0.0058686,           0.0094715,           0.0036072,             0.46358,             0.39006,             0.38589,             0.11008,            0.061698,            0.012423,            0.019019,              0.6146,             0.00586,             0.00586,             0.00586
                 140,            0.018472,           0.0058255,           0.0094417,           0.0034675,             0.47859,             0.37571,             0.38481,             0.11769,            0.061063,            0.012378,            0.018948,             0.64088,             0.00583,             0.00583,             0.00583
                 141,            0.016992,           0.0058056,           0.0096091,             0.01673,             0.43358,             0.40285,             0.38834,             0.11855,            0.060321,            0.012415,            0.018817,             0.64217,              0.0058,              0.0058,              0.0058
